# ASIAIR RPC command names, extracted from the ASIAIR Android app v3.0.0
# Source: com.zwoasi.kit.cmd.CmdMethod paired with MainCameraConstants +
# GuiderCameraConstants (jadx over classes6.dex). 289 entries, 0 unresolved.
# This is the app's OWN command table -- authoritative, unlike name probing,
# which had found only ~40% of it.
#
# rpc_name<TAB>app_enum_constant
add_body_to_favorite	ADD_BODY_FROM_FAVORITE
is_img_file_annotated	CMD_IS_IMG_FILE_ANNOTATED
list_plan	CMD_GET_PLAN_LIST
loop	CMD_GUIDE_LOOP
mount_scan_port	CMD_MOUNT_SCAN_PORT
move_caa	CMD_MOVE_CAA
move_caa_to_mechanical_home	CMD_MOVE_CAA_TO_MECHANICAL_HOME
move_focuser	CMD_FOCUSER_ORDER_MOVE
open_caa	CMD_OPEN_CAA
open_camera	CMD_OPEN_CAMERA
open_focuser	CMD_OPEN_FOCUSER
open_wheel	CMD_OPEN_WHEEL
pause_polar_align	CMD_PAUSE_3PPA
pi_encrypt	CMD_PI_ENCRYPT
pi_eth0_state	CMD_GET_ETH0_STATE
pi_get_ap	CMD_GET_AP_INFO
pi_get_ap_channel	CMD_GET_AP_CHANNEL
pi_get_info	GET_PI_INFO
pi_is_verified	CMD_CHECK_VERIFY
pi_output_get2	CMD_GET_DC_OUTPUT
pi_output_set2	CMD_SET_DC_OUTPUT
pi_reboot	CMD_PI_REBOOT
pi_set_5g	CMD_SET_AP_5G
pi_set_ap	CMD_SET_AP
pi_set_eth0	CMD_SET_ETH0_STATE
pi_set_time	CMD_PI_SET_TIME
pi_shutdown	CMD_PI_SHUTDOWN
pi_station_close	CMD_STATION_CLOSE
pi_station_list_config	CMD_STATION_GET_SETUP_LIST
pi_station_open	CMD_STATION_OPEN
pi_station_remove	CMD_STATION_REMOVE
pi_station_scan	CMD_STATION_SCAN
pi_station_select	CMD_STATION_CONNECT_ONE_NETWORK
pi_station_set	CMD_STATION_SET_ONE_NETWORK
pi_station_state	CMD_STATION_GET_STATE
remote_disjoin	CMD_REMOTE_DISJOIN
remote_join	CMD_REMOTE_JOIN
remote_rebind_device_user	CMD_REMOTE_REBIND_DEVICE_USER
reset_plan	CMD_RESET_PLAN
reset_sequence_progress	CMD_RESET_SEQUENCE_PROGRESS
rm_polar_align_image	CMD_PA_RM_POLAR_ALIGN_IMAGE
save_image	CMD_SAVE_IMAGE
save_stack	CMD_SAVE_STACK
scope_abort_slew	CMD_SCOPE_STOP_PARK
scope_can_park	CMD_SCOPE_CAN_PARK
scope_can_set_custom_park	CMD_SCOPE_CAN_CHANGE_PARK
scope_can_upgrade_fw	CMD_SCOPE_CAN_UPGRADE_FW
scope_get_beep_volume	CMD_SCOPE_GET_BEEP_VOLUME
scope_get_cap	CMD_SCOPE_GET_CAP
scope_get_connection_mode	CMD_SCOPE_GET_CONNECTION_MODE
scope_get_connection_para	CMD_SCOPE_GET_CONNECTION_PARAM
scope_get_guide_rate	CMD_SCOPE_GET_GUIDE_RATE
scope_get_half_speed	CMD_SCOPE_GET_HALF_SPEED
scope_get_horiz_coord	CMD_SCOPE_HORIZ_COORD
scope_get_info	CMD_SCOPE_GET_INFO
scope_get_input_voltage	CMD_SCOPE_GET_INPUT_VOLTAGE
scope_get_location	CMD_SCOPE_GET_LOCATION
scope_get_mode	CMD_SCOPE_GET_MODE
scope_get_slew_rate	CMD_SCOPE_GET_SLEW_RATE
scope_get_time	CMD_SCOPE_GET_TIME
scope_get_track_mode	CMD_SCOPE_GET_TRACK_MODE
scope_get_track_state	CMD_SCOPE_GET_TRACK_STATE
scope_goto	CMD_SCOPE_GOTO
scope_is_moving	CMD_SCOPE_IS_MOVING
scope_move	CMD_SCOPE_MOVE
scope_move_left_by_angle	CMD_SCOPE_MOVE_LEFT_BY_ANGLE
scope_park	CMD_SCOPE_START_PARK
scope_set_beep_volume	CMD_SCOPE_SET_BEEP_VOLUME
scope_set_connection_mode	CMD_SCOPE_SET_CONNECTION_MODE
scope_set_connection_para	CMD_SCOPE_SET_CONNECTION_PARAM
scope_set_custom_park	CMD_SCOPE_SET_CUSTOM_PARK
scope_set_guide_rate	CMD_SCOPE_SET_GUIDE_RATE
scope_set_half_speed	CMD_SCOPE_SET_HALF_SPEED
scope_set_location	CMD_SCOPE_SET_LOCATION
scope_set_mode	CMD_SCOPE_SET_MODE
scope_set_mount_info	CMD_SCOPE_SET_MOUNT_INFO
scope_set_slew_rate	CMD_SCOPE_SET_SLEW_RATE
scope_set_time	CMD_SCOPE_SET_TIME
scope_set_track_mode	CMD_SCOPE_SET_TRACK_MODE
scope_set_track_state	CMD_SCOPE_SET_TRACK_STATE
scope_sync	CMD_SCOPE_SYNC
scope_upgrade_fw	CMD_SCOPE_UPGRADE_FW
select_mount_list_index	CMD_SELECT_MOUNT_LIST_INDEX
select_serial_dev	CMD_MOUNT_SELECT_SERIAL_DEV
set_3p_pa_setting	CMD_SET_3P_SETTING
set_algo_param	CMD_SET_ALGO_PARAM
set_app_setting	CMD_SET_APP_SETTING
set_auto_load_calibration	CMD_SET_AUTO_LOAD_CALIBRATION
set_batch_stack_setting	CMD_SET_STACK_CONFIG
set_beta_setting	CMD_GUIDE_SET_BETA_SETTING
set_caa_setting	CMD_SET_CAA_SETTING
set_caa_value	CMD_SET_CAA_VALUE
set_calib_frame	CMD_SET_CALIB_FRAME_NAME
set_calib_param	CMD_SET_CALIB_PARAM
set_camera_bin	CMD_SET_CAMERA_BIN
set_camera_binning	CMD_SET_CAMERA_BINNING
set_camera_idx	CMD_SET_CAMERA_INDEX
set_connected	CMD_GUIDE_SET_CONNECTED
set_control_value	CMD_SET_CONTROL_VALUE
set_dec_guide_mode	CMD_SET_DEC_GUIDE_MODE
set_dither	CMD_SET_DITHER
set_exposure	CMD_GUIDE_SET_EXPOSURE
set_focal_length	CMD_SET_FOCAL_LENGTH
set_focuser_connect_mode	CMD_SET_FOCUSER_CONNECT_MODE
set_focuser_setting	CMD_SET_FOCUSER_SETTING
set_focuser_value	CMD_SET_FOCUSER_VALUE
set_gain	CMD_SET_GAIN
set_image_save_path	SET_IMAGE_SAVE_PATH
set_img_file_info	CMD_SET_IMG_FILE_INFO
set_img_name_field	CMD_SET_FILENAME_RULE
set_lock_position	CMD_SET_LOCK_POSITION
set_merid_setting	CMD_SET_MERID_SETTING
set_page	CMD_SET_PAGE
set_plan	CMD_SET_PLAN
set_polar_align_image	CMD_PA_SET_POLAR_ALIGN_IMAGE
set_rtmp_config	CMD_SET_RTMP_CONFIG
set_search_region	CMD_SET_SEARCH_REGION
set_sequence	CMD_SET_SEQUENCE
set_sequence_setting	CMD_SET_SEQUENCE_SETTING
set_setting	CMD_SET_SETTING
set_setting	CMD_GUIDE_SET_SETTING
set_stack_setting	CMD_SET_STACK_SETTING
set_stack_type	CMD_SET_STACK_TYPE
set_subframe	CMD_SET_ROI
set_test_setting	CMD_SET_TEST_SETTING
set_user_location	CMD_SET_USER_LOCATION
set_wheel_position	CMD_SET_WHEEL_POSITION
set_wheel_setting	CMD_SET_WHEEL_SETTING
set_wheel_unidirection	CMD_SET_WHEEL_UNIDIRECTION
start_annotate	CMD_START_ANNOTATE
start_auto_focuse	CMD_START_AUTO_FOCUS
start_auto_goto	CMD_SCOPE_START_AUTO_GOTO
start_auto_goto_pixel	CMD_START_AUTO_GOTO_PIXEL
start_avi_rtmp	CMD_START_RTMP_PLAYBACK
start_batch_stack	CMD_START_BATCH_STACK
start_create_dark	CMD_GUIDE_START_CREATE_DARK
start_demonstrate	CMD_START_DEMONSTRATE
start_export_image	CMD_START_EXPORT
start_exposure	CMD_START_EXPOSURE
start_find_star	CMD_START_FIND_STAR
start_planet_stack	CMD_START_PLANET_STACK
start_polar_align	CMD_START_PA
start_record_avi	CMD_START_RECORD_AVI
start_scan_ble	CMD_SCOPE_START_SCAN_BLE
start_scan_focuser	CMD_START_SCAN_FOCUSER
start_solve	CMD_START_SOLVE
start_stack	CMD_START_STACK
stop_annotate	CMD_STOP_ANNOTATE
stop_auto_focuse	CMD_STOP_AUTO_FOCUS
stop_auto_goto	CMD_SCOPE_STOP_AUTO_GOTO
stop_avi_rtmp	CMD_STOP_RTMP_PLAYBACK
stop_batch_stack	CMD_STOP_BATCH_STACK
stop_caa	CMD_STOP_CAA
stop_capture	CMD_GUIDE_STOP_CAPTURE
stop_create_dark	CMD_GUIDE_STOP_CREATE_DARK
stop_demonstrate	CMD_STOP_DEMONSTRATE
stop_export_image	CMD_STOP_EXPORT
stop_exposure	CMD_STOP_EXPOSURE
stop_find_star	CMD_STOP_FIND_STAR
stop_focuser	CMD_FOCUSER_ORDER_STOP
stop_planet_stack	CMD_STOP_PLANET_STACK
stop_polar_align	CMD_STOP_PA
stop_record_avi	CMD_STOP_RECORD_AVI
stop_send	CMD_STOP_SEND
stop_solve	CMD_STOP_SOLVE
stop_stack	CMD_STOP_STACK
test_connection	CMD_TEST_CONNECTION
update_body_id	UPDATE_BODY_ID
update_comet_txt	CMD_UPDATE_COMET_TXT
update_custom_body	UPDATE_CUSTOM_BODY
update_custom_list	UPDATE_CUSTOM_LIST
verify_client	VERIFY_CLIENT
